Accession	Organism_Name	GenBank_RefSeq	Assembly	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Length	Nuc_Completeness	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date
MW623001.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5476/2018-11-06	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2018-11-06
MW623002.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5692/2018-11-11	Rhinovirus C	408	partial	Kenya	Kenya		Homo sapiens		2018-11-11
MW623003.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5629/2009-02-23	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2009-02-23
MW623004.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5630/2009-02-26	Rhinovirus C	411	partial	Kenya	Kenya		Homo sapiens		2009-02-26
MW623005.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5695/2009-04-10	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2009-04-10
MW623006.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5477/2009-05-27	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2009-05-27
MW623007.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5526/2009-07-15	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2009-07-15
MW623008.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5518/2009-08-28	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2009-08-28
MW623009.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5452/2009-11-14	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2009-11-14
MW623010.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5604/2009-11-18	Rhinovirus C	399	partial	Kenya	Kenya		Homo sapiens		2009-11-18
MW623011.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5631/2009-11-22	Rhinovirus C	408	partial	Kenya	Kenya		Homo sapiens		2009-11-22
MW623012.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5478/2009-12-06	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2009-12-06
MW623013.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5739/2009-12-15	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2009-12-15
MW623014.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5655/2009-12-16	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2009-12-16
MW623015.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5740/2009-12-17	Rhinovirus C	399	partial	Kenya	Kenya		Homo sapiens		2009-12-17
MW623016.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5453/2009-12-25	Rhinovirus C	399	partial	Kenya	Kenya		Homo sapiens		2009-12-25
MW623017.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5656/2010-01-01	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-01-01
MW623018.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5764/2010-01-11	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-01-11
MW623019.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5552/2010-01-16	Rhinovirus C	372	partial	Kenya	Kenya		Homo sapiens		2010-01-16
MW623020.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5765/2010-01-19	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-01-19
MW623021.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5450/2010-01-29	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-01-29
MW623022.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5696/2010-02-01	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-02-01
MW623023.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5493/2010-02-03	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-02-03
MW623024.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5657/2010-02-10	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-02-10
MW623025.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5697/2010-02-11	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-02-11
MW623026.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5766/2010-02-21	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-02-21
MW623027.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5698/2010-02-23	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-02-23
MW623028.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5699/2010-02-23	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-02-23
MW623029.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5570/2010-02-25	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-02-25
MW623030.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5571/2010-02-26	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-02-26
MW623031.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5658/2010-02-26	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-02-26
MW623032.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5659/2010-03-01	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-03-01
MW623033.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5767/2010-03-01	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-03-01
MW623034.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5642/2010-03-04	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-03-04
MW623035.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5768/2010-03-09	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-03-09
MW623036.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5700/2010-03-10	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-03-10
MW623037.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5769/2010-03-15	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-03-15
MW623038.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5466/2010-03-18	Rhinovirus C	405	partial	Kenya	Kenya		Homo sapiens		2010-03-18
MW623039.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5770/2010-03-21	Rhinovirus C	411	partial	Kenya	Kenya		Homo sapiens		2010-03-21
MW623040.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5572/2010-03-21	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-03-21
MW623041.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5573/2010-03-24	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-03-24
MW623042.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5689/2010-03-30	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-03-30
MW623043.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5643/2010-04-10	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-04-10
MW623044.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5537/2010-05-28	Rhinovirus C	300	partial	Kenya	Kenya		Homo sapiens		2010-05-28
MW623045.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5574/2010-05-30	Rhinovirus C	414	partial	Kenya	Kenya		Homo sapiens		2010-05-30
MW623046.1	Rhinovirus C	GenBank		Mwita Morobe,J., Kamau,E., Murunga,N., Gatua,W., Luka,M.M., Lewa,C., Cheruiyot,R., Mutunga,M., Odundo,C., James Nokes,D., Agoti,C.N., Morobe,J.M., Nokes,J.D.	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography Department	Kenya	2022-01-23	KEN/Kilifi/HRV/5538/2010-06-16	Rhinovirus C	255	partial	Kenya	Kenya		Homo sapiens		2010-06-16
MW587053.1	Rhinovirus C	GenBank		Shi,M., Zhao,S., Yu,B., Wu,W.-C., Hu,Y., Tian,J.-H., Yin,W., Ni,F., Hu,H.-L., Geng,S., Tan,L., Peng,Y., Wu,F., Song,Z.-G., Chen,Y.-M., Wang,W., Holmes,E.C., Zhang,Y.-Z.	Shanghai Public Health Clinical Center, East China Institute of Pathogen Biology	China	2022-01-19	S0425ZDP	Rhinovirus C	6966	partial	China	China		Homo sapiens	lung	2017-12
MW587059.1	Rhinovirus C	GenBank		Shi,M., Zhao,S., Yu,B., Wu,W.-C., Hu,Y., Tian,J.-H., Yin,W., Ni,F., Hu,H.-L., Geng,S., Tan,L., Peng,Y., Wu,F., Song,Z.-G., Chen,Y.-M., Wang,W., Holmes,E.C., Zhang,Y.-Z.	Shanghai Public Health Clinical Center, East China Institute of Pathogen Biology	China	2022-01-19	S0590XDY	Rhinovirus C	7073	partial	China	China		Homo sapiens	lung	2017-12
MW587060.1	Rhinovirus C	GenBank		Shi,M., Zhao,S., Yu,B., Wu,W.-C., Hu,Y., Tian,J.-H., Yin,W., Ni,F., Hu,H.-L., Geng,S., Tan,L., Peng,Y., Wu,F., Song,Z.-G., Chen,Y.-M., Wang,W., Holmes,E.C., Zhang,Y.-Z.	Shanghai Public Health Clinical Center, East China Institute of Pathogen Biology	China	2022-01-19	S0595YZY	Rhinovirus C	7148	partial	China	China		Homo sapiens	lung	2017-12
MW587068.1	Rhinovirus C	GenBank		Shi,M., Zhao,S., Yu,B., Wu,W.-C., Hu,Y., Tian,J.-H., Yin,W., Ni,F., Hu,H.-L., Geng,S., Tan,L., Peng,Y., Wu,F., Song,Z.-G., Chen,Y.-M., Wang,W., Holmes,E.C., Zhang,Y.-Z.	Shanghai Public Health Clinical Center, East China Institute of Pathogen Biology	China	2022-01-19	S0679ZYY	Rhinovirus C	7038	partial	China	China		Homo sapiens	lung	2017-12
MZ515350.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2013/16	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2013-11-13
MZ515351.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2013/16	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2013-11-13
MZ515352.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2013/32	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2013-12-30
MZ515353.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2013/2	Rhinovirus C	243	partial	Germany: Leipzig	Germany		Homo sapiens		2013-12-30
MZ515354.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/1	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2014-01-06
MZ515355.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/2	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2014-01-08
MZ515356.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/2	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2014-01-08
MZ515357.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/3	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2014-01-08
MZ515358.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/3	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2014-01-08
MZ515359.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/5	Rhinovirus C	393	partial	Germany: Leipzig	Germany		Homo sapiens		2014-01-20
MZ515360.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/5	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2014-01-20
MZ515361.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/19	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2014-03-12
MZ515362.1	Rhinovirus C	GenBank		Golke,P., Honemann,M., Bergs,S., Liebert,U.G.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2021-11-09	RV/Leipzig/2014/21	Rhinovirus C	240	partial	Germany: Leipzig	Germany		Homo sapiens		2014-03-18
