"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"West Nile","GO:0009201","ribonucleoside triphosphate biosynthetic process","66/6513","116/18986",0.568965517241379,1.65858733461459,5.14122721329767,4.95824173680395e-07,1.60777909719308e-05,1.19193852919482e-05,"PINK1/NDUFV3/ATP5MC1/IMPDH2/NDUFB9/NDUFA9/ATP5PO/IMPDH1/NDUFS8/ATP5MC2/NME1/NME3/ATP5MF/PRKAG2/NDUFS7/NDUFV1/ATP5ME/TAFAZZIN/NDUFB8/NDUFS3/NDUFB10/UQCC3/ATPSCKMT/TREM2/PID1/ANTKMT/ATP5F1D/ATP5MJ/NDUFA13/NME4/NDUFA2/SDHD/NME6/ND3/NDUFB7/UCK2/NDUFA3/NDUFS6/NDUFS5/NDUFA6/ATP5IF1/NDUFA7/PARP1/NDUFA11/ATP5MG/NDUFB1/ATP5MGL/ATP6/COX11/ATP5MC3/ATP6V1A/ATP5PD/NDUFA10/NDUFB3/ATP5F1E/VCP/NDUFB11/NDUFAB1/NDUFA8/NDUFC2/STOML2/NME7/NME2/NDUFB2/DMAC2L/ND6",66
"West Nile","GO:0006986","response to unfolded protein","78/6513","143/18986",0.545454545454545,1.59005066789498,5.11791041476367,5.09735219838843e-07,1.64453968905582e-05,1.21919125680752e-05,"FBXO6/TOR1B/EIF2AK2/OPTN/DAB2IP/BCL2L11/DNAJA1/BAK1/PPP1R15A/DNAJB4/HERPUD2/HSPA1A/ERN1/XBP1/FICD/SELENOS/CREBRF/HSPA1L/ERP44/EDEM1/NCK1/PARP8/HSPH1/HSPA2/PTPN2/CREB3/DNAJB9/NFE2L2/DNAJC4/DERL1/ATF3/HSPA5/RACK1/TRAM1/CCND1/BBC3/HSP90AB1/ABCA7/EDEM2/EIF2S1/PPP1R15B/QRICH1/DDIT3/DAXX/ERP27/ERLEC1/PTPN1/DNAJB1/ERO1A/ABCB10/HSPA8/BAG3/TMEM129/TMED2/STUB1/STT3B/HSP90AA1/EPG5/EIF2AK3/MMP24-AS1-EDEM2/JKAMP/RHBDD1/ATF6/DNAJB5/DNAJC3/HSPA4L/FAF2/VCP/SERPINH1/ATF6B/HERPUD1/DDRGK1/CDK5RAP3/MBTPS1/TBL2/HSPE1/DNAJB2/KBTBD6",78
"West Nile","GO:0062208","positive regulation of pattern recognition receptor signaling pathway","45/6513","71/18986",0.633802816901408,1.84759408593431,5.17040184596857,5.2382468035465e-07,1.68150354678669e-05,1.2465946770249e-05,"GBP5/OASL/DHX58/GBP2/ZC3HAV1/IFI35/DDX60/RSAD2/PELI1/SLC19A1/ZDHHC9/HSPA1B/HSPA1A/MYD88/BTK/TASL/TICAM2/WDFY1/CD14/DDX3X/NAGK/USP15/ATAT1/SLC15A4/TLR1/NEK7/NR1H3/NINJ1/PTPN22/PUM2/TAB1/ZDHHC5/ZNRF1/TLR4/PPP2CA/ZCCHC3/PJA2/RTN4/USP50/PUM1/GDI1/SLC46A2/MAPK8/STMP1/MAVS",45
"West Nile","GO:0033108","mitochondrial respiratory chain complex assembly","60/6513","103/18986",0.58252427184466,1.69811236377134,5.13356214729694,5.40221678920732e-07,1.72546804247282e-05,1.27918807024441e-05,"LYRM7/BCS1L/SAMM50/NDUFAF2/UQCC5/NDUFB9/DMAC1/NDUFA9/NDUFAF8/FXN/NDUFS8/COA1/NDUFS7/SCO2/TAFAZZIN/NDUFB8/NDUFS3/NDUFB10/UQCC3/COA3/SDHAF1/PET100/TIMM21/NDUFA13/NDUFA2/OXA1L/FOXRED1/NDUFB7/NDUFA3/NDUFS5/NDUFA6/UQCC2/NDUFA11/COA4/NDUFB1/ECSIT/TMEM186/NDUFAF4/COX14/NUBPL/SCO1/NDUFA10/COA8/NDUFB3/TMEM223/NDUFB11/NDUFAB1/NDUFA8/NDUFC2/COA5/COX16/NDUFAF6/SURF1/DMAC2/NDUFB2/ND6/FASTKD3/IMMP2L/STMP1/TMEM126B",60
"West Nile","GO:0032869","cellular response to insulin stimulus","108/6513","213/18986",0.507042253521127,1.47807526874745,5.07025285351425,5.48830808401105e-07,1.74424438013247e-05,1.29310804241769e-05,"STAT1/PNPLA3/SOCS1/CFLAR/SOCS3/NCOA2/RAB8A/BLVRB/SRD5A1/INSR/PPARG/KAT2B/GRB10/SOS1/UCP2/IL1B/XBP1/PDK2/SELENOS/CPEB2/RELA/PTPRJ/IGF2/NCK1/PRKCD/FOXO1/PTPN2/IRS2/BAIAP2/SRC/RAB31/APC/INSIG2/RB1/SHC1/INPP5K/GRB2/PIK3R2/KBTBD2/SLC27A1/BCAR1/FBP1/CEACAM1/GOT1/RPS6KB1/GAB1/NUCKS1/PDK4/RAF1/MAPK3/SOCS7/SLC9A1/PRKCB/SLC2A8/RPS6KB2/SLC27A4/CPEB1/PRKCQ/PIK3R3/PTPRA/GSK3B/TNS2/KANK1/FOXO4/APPL1/GPT/USO1/ZFP36L1/PID1/HDAC5/GSK3A/WDTC1/PTPN1/IGF1R/SIRT1/USF1/CAV2/BCAR3/PARP1/NDEL1/RAB10/NCOA5/MAPK1/SLC39A14/HRAS/EIF4EBP2/RAB13/EEF2K/NCOA1/PIK3CA/PIP4K2B/OGT/PRKAA1/PHIP/TBC1D4/GPLD1/TSC2/ATP2B1/LPIN2/FFAR3/PIP4K2C/LPIN3/YWHAG/SESN3/SOS2/C2CD5/IDE/CAPN10",108
"West Nile","GO:2001236","regulation of extrinsic apoptotic signaling pathway","87/6513","164/18986",0.530487804878049,1.54642122883689,5.07840089687745,5.84102154914428e-07,1.84715077504622e-05,1.36939843405941e-05,"TNFSF10/TNFSF15/PMAIP1/KLF4/TNF/PML/TNFAIP3/SP100/CFLAR/RIPK1/IFI6/TMC8/TRAF1/IL7/ICAM1/PELI3/HSPA1B/CYLD/HSPA1A/MCL1/DEPTOR/TCF7L2/BCL2L14/MADD/IL1B/TMBIM1/RELA/RET/PTPRC/LTA/HGF/ITGAV/RFFL/SKIL/SIAH2/DDX3X/SRC/INHBA/RBCK1/IL1A/HMGB2/BCL2/ATF3/G0S2/BCL10/PDIA3/IGF1/RNF34/STK4/FAF1/RPS6KB1/PPP1CA/GPER1/UNC5B/TNFSF14/RAF1/NF1/STK3/ACSL5/CTNNA1/GSK3B/EYA2/ACVR1/TRAF2/NOL3/GPX1/APP/BCL2L1/BID/TGFBR1/PPP2R1A/PRDX2/ITPRIP/TLR4/EYA3/GCLM/PYCARD/FAIM2/LGALS3/PHIP/GRINA/LMNA/MIR221/BIRC6/ARHGEF2/SGK3/C8orf44-SGK3",87
"West Nile","GO:0002698","negative regulation of immune effector process","71/6513","128/18986",0.5546875,1.61696558805466,5.06090854409861,7.01619317616282e-07,2.2078542861738e-05,1.63680856103482e-05,"SERPING1/CD80/SERPINB9/IFNA2/IL4I1/TNF/CD274/JAK3/ZC3H12A/SLAMF1/LILRB1/IFNB1/NOD2/ASCL2/LILRB4/CR1L/AXL/HLA-F/IFNL1/BST2/KIR2DL4/IL7R/CD69/IRAK3/FGL2/NLRX1/HLA-G/PDCD1/PTPRC/IL20RB/HLA-B/HLA-E/AHR/ARRB2/TWIST1/IL4R/CEACAM1/RC3H1/CD22/HFE/SMAD7/NCKAP1L/BCR/APPL1/ANXA1/FOXF1/BCL6/RC3H2/LGALS1/CCR2/DUSP10/CD59/CLEC4G/ACP5/SPN/SLAMF8/VSIG4/CUEDC2/GFER/STAT5A/FOXP3/HAVCR2/CD300A/CD46/LGALS3/LOXL3/RABGEF1/TGFB3/CR1/RPS19/MICA",71
"West Nile","GO:0009185","ribonucleoside diphosphate metabolic process","70/6513","126/18986",0.555555555555556,1.61949605063378,5.04154152980053,7.7457103339928e-07,2.42547047125225e-05,1.79813987578089e-05,"PFKFB3/STAT3/TJP2/P2RX7/CARD11/SLC2A6/INSR/KAT2B/NUPR1/PRKACA/BPGM/UCP2/ENTPD5/HK2/PFKP/AK1/ADPGK/PSEN1/HIF1A/SRC/RRM2/MAGI3/CBFA2T3/GPD1/IGF1/PRXL2C/MLST8/AK2/FBP1/CAD/ENO2/PRKAG2/GIT1/PGAM1/NUDT18/PGAM4/DDIT4/GPI/CASK/RRM2B/APP/FOXK2/JMJD8/FKRP/GALK1/DHODH/BAD/HDAC4/ARL2/ENTPD4/GAPDH/ENO3/ALDOC/PPP2CA/EP300/MFSD8/ENTPD7/TREX1/LDHA/PFKFB2/IER3/GAPDHS/ZBTB7A/OGT/PRKAA1/AK4/TPI1/MLXIPL/AK5/RRM1",70
"West Nile","GO:0045824","negative regulation of innate immune response","55/6513","93/18986",0.591397849462366,1.7239796668037,5.05740530429409,8.11605735852713e-07,2.52904265396445e-05,1.87492385396732e-05,"DHX58/USP18/PARP14/OAS3/NMI/SERPING1/OAS1/STAT2/SERPINB9/ISG15/TRAFD1/IFI16/TNFAIP3/NLRC5/ACOD1/TRIM21/LILRB1/ADAR/HLA-F/KIR2DL4/PPARG/IRAK3/NLRX1/HLA-G/TTLL12/PTPN2/HLA-B/HLA-E/USP15/ARRB2/CEACAM1/BANF1/NR1H3/ZDHHC18/LYAR/PARP1/ATG5/DUSP10/AURKB/SLAMF8/VSIG4/GFER/USP38/HAVCR2/TREX1/FAM3A/CEP63/METTL3/PIM1/YTHDF3/CR1/RPS19/MICA/ATG12/MAVS",55
"West Nile","GO:0016050","vesicle organization","178/6513","386/18986",0.461139896373057,1.3442656337385,4.93788794574333,8.43785827445265e-07,2.61655527462153e-05,1.93980196099961e-05,"SAMD9/STX11/SLAMF1/MVB12B/ZNRF2/SNX10/P2RX7/RAB8A/RAB39A/STX17/HPS5/PRRT2/UVRAG/MIA3/PI4K2B/ANKFY1/CHMP5/VAV3/WASHC4/MFSD14A/TMF1/NECTIN2/BET1/FBXO5/ARFGAP3/CORO1A/WASL/STXBP1/PHETA1/ABCA1/TRAPPC2L/DNM1/ATP6V0A1/SAR1A/TFG/TRAPPC6A/BLOC1S2/RAB32/BCL2/SPHK1/TRAPPC10/ABCB6/SEC24D/SPG11/UBR4/TRAPPC13/RAB27A/SYT11/IRAG2/UBAP1/TRAPPC1/RAB3A/SLC9A8/IST1/ZEB2/SCARB2/GOSR1/SEC24A/DOC2A/SEC31B/SNX3/ATP6V0D1/LAMTOR1/BACE2/SNAP47/PLEKHF2/PIKFYVE/OSBP/SEC24B/TRAPPC8/STX12/DNAJC13/ATP6V1H/VPS4B/ANXA1/USO1/VPS37B/SEC22B/HPS1/RAB29/KIF13A/CREB1/AP1B1/BLOC1S3/STX10/PLEKHJ1/STX16/STX8/RAB11A/VPS28/SYNJ1/KCNE1/VTI1A/MYO7A/TRAPPC5/SYP/ACRBP/CHMP2A/PAFAH1B1/ARL8B/SDC1/SEC31A/GOLPH3/STAM2/PLEKHA3/EPS15/EXOC8/GOSR2/VPS39/SYT1/CAV2/CD34/ATP6V1B2/SEC23A/ARFGEF2/VPS37A/BAIAP3/SYT8/SNAPIN/BLOC1S1/RAB1A/TMED2/PICALM/ZNRF1/F2RL3/VPS13B/VIPAS39/SEC23B/HOOK3/RNF26/HPS3/TBPL1/ATP6V1A/TRAPPC11/ATP6V1G1/SCAP/TRAPPC9/SNAP23/VAMP8/CHMP1B/VPS25/SNX19/STX5/RAB14/APOE/SNX33/TRAPPC3/SNX11/AP1G1/RAB7B/PDCD6IP/MVB12A/PIP4K2B/DNM3/CHN2/VPS37C/POC1B/STX3/STX1B/TBC1D4/GARIN1A/LYST/USP50/SAR1B/RPH3AL/GBF1/GPR143/VPS41/VTA1/DTNBP1/TSNARE1/YIPF4/ATP6V0B/TMEM9/WASHC5/C2CD5/SNF8/AP3S2",178
"West Nile","GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","73/6513","133/18986",0.548872180451128,1.60001339137803,5.01772561049132,8.49035013820847e-07,2.62011384941429e-05,1.94244013586575e-05,"TNFSF13B/TAP2/TNF/RSAD2/CD40/IL23A/NFKBIZ/SLAMF1/IL6/JAK2/NOD2/P2RX7/RIPK2/HLA-F/SECTM1/BTK/IL12A/IL1B/FZD5/DENND1B/MICB/HLA-G/NECTIN2/IL12RB1/PTPRC/ARID5A/LTA/SLC11A1/RIF1/FCER2/HLA-B/HLA-E/STAT6/IL12B/PLA2G4A/C3/B2M/HLA-C/HFE/IL18/CD4/BRD2/NFKBID/PRKCQ/CD7/ZBTB1/TREM2/TRAF2/CLEC6A/CD1A/NLRP3/CYRIB/CARD9/KLHL22/CCR2/CD28/MR1/TRAF6/HSPA8/HLA-H/SHLD3/FCGR1A/EP300/FOXP3/GATA3/MLH1/PRKAA1/CD1C/IL27RA/PVR/YWHAG/TNFSF13/MICA",73
"West Nile","GO:1901991","negative regulation of mitotic cell cycle phase transition","104/6513","205/18986",0.507317073170732,1.47887639355435,4.98139960118264,8.53521200686879e-07,2.62129491826336e-05,1.94331572970155e-05,"CCL2/KLF4/PML/NBN/DUSP1/DCUN1D3/FBXO7/CDC73/EZH2/NDC80/GPR132/CTDSPL/FBXO5/CDK2/BTN2A2/BARD1/ZC3H12D/ZFP36L2/PLK3/MAD2L1BP/SPC24/CDKN2B/HUS1/PRP4K/INHBA/ANAPC15/APC/BCL2/BIRC5/BRD7/PKMYT1/RB1/CDKN1B/ZNF207/CTDSP1/SLFN11/NABP2/ABRAXAS1/MDM2/CCND1/HASPIN/RPL26/SDE2/RAD21/CDKN1A/FOXO4/PKD2/ACVR1/JADE1/ZFP36L1/ZNF655/DTL/SKA3/INIP/RFWD3/CRLF3/NOP53/FOXN3/WAC/KLHL22/PINX1/MRNIP/PIDD1/MAD1L1/ATR/CHEK1/BUB3/INTS3/CDK2AP2/BUB1/PRAP1/CTDSP2/AURKB/KNTC1/TICRR/ORC1/TPR/PPP2R5C/CDK5RAP2/TREX1/DYNC1LI1/RBL1/IER3/CENPF/CHEK2/TRIM39/RBL2/BABAM1/TRIAP1/SPDL1/RINT1/GTSE1/HUS1B/TAOK1/CDK5RAP3/ATM/TOPBP1/MBTPS1/BABAM2/TTK/RGCC/ZWILCH/BUB1B/CLSPN",104
"West Nile","GO:0010948","negative regulation of cell cycle process","155/6513","329/18986",0.47112462006079,1.37337203078062,4.93661437812689,8.94268910152413e-07,2.72427677456525e-05,2.01966206518292e-05,"PARP9/FBXO6/DTX3L/CCL2/KLF4/PML/BRIP1/DAB2IP/NBN/LYN/E2F1/ATF5/SMARCA5/BRCA2/KAT2B/DUSP1/DCUN1D3/FBXO7/CDC73/EZH2/HLA-G/NDC80/GPR132/CTDSPL/KAT2A/FBXO5/CDK2/BTN2A2/BARD1/ZC3H12D/ZFP36L2/PLK3/MAD2L1BP/SPC24/CDKN2B/HUS1/PRP4K/INHBA/ANAPC15/APC/BCL2/TIMELESS/BIRC5/USP28/BRD7/MAP3K20/PKMYT1/GNB1L/RB1/CDKN1B/NUBP1/NSUN2/ZNF207/CTDSP1/SLFN11/NABP2/ABRAXAS1/MDM2/CCND1/ATRX/NAA10/HASPIN/GPER1/BAZ1B/RPL26/SDE2/CDKN2D/WAPL/TIPRL/RAD21/CDKN1A/ATF2/FOXO4/PKD2/ACVR1/JADE1/ZFP36L1/ZNF655/DTL/SKA3/APBB1/INIP/BCL6/RFWD3/RAD9B/CHMP2A/SIRT1/CRLF3/NOP53/FOXN3/WAC/NME6/CCNF/KLHL22/PINX1/CDC45/MRNIP/INTS7/PIDD1/MAD1L1/CDC5L/CDT1/ATR/CHEK1/BUB3/INTS3/TNKS/CDK2AP2/BUB1/AURKAIP1/PRAP1/CTDSP2/AURKB/ERCC6/SYCP2L/KNTC1/TICRR/ORC1/TPR/TTI2/RHNO1/PPP2R5C/CDK5RAP2/TREX1/DYNC1LI1/RBL1/IER3/CENPF/PPP1R10/CHEK2/CENATAC/TRIM39/RBL2/BABAM1/PRPF19/TRIAP1/CEP63/DOT1L/ESPL1/SPDL1/RINT1/GTSE1/HUS1B/TAOK1/CDK5RAP3/ATM/TOPBP1/MBTPS1/BABAM2/TTK/FBXO4/RGCC/ZWILCH/BUB1B/CLSPN",155
"West Nile","GO:0097530","granulocyte migration","83/6513","156/18986",0.532051282051282,1.55097891003004,4.99324060326165,8.95582533905296e-07,2.72427677456525e-05,2.01966206518292e-05,"MCOLN2/CCL8/TNFAIP6/CCL5/CCR7/RIPOR2/CCL2/CCL7/FUT4/PDE4B/IL23A/CXCL10/CXCL8/SLAMF1/JAML/DPP4/CXCL2/NOD2/CXCL11/CXCL3/CCL4/CCL3L3/CXADR/MYD88/EDN1/CXCL9/CCL19/CCL3/ITGA9/VAV3/PTGER4/IL1B/DAPK2/CXCR1/PTPRJ/C3AR1/S100A8/RAC3/ADAM8/CXCL1/SYK/IL1A/SAA1/TRPV4/MDK/CCL15/SRP54/PTK2/ADGRE2/C5AR2/CMKLR1/CSF1R/MAPK3/SELENOK/NCKAP1L/PIKFYVE/ANXA1/AKIRIN1/IRAK4/MCU/CXCL13/RAC2/CAMK1D/CD99L2/MAPK1/SLAMF8/CXCR2/PIP5K1C/CKLF/CXCL5/CD300A/ITGB2/RTN4/LGALS3/DNM1L/PECAM1/BSG/S100A14/CXCL17/CCL23/GBF1/TREM1/VEGFA",83
"West Nile","GO:0070269","pyroptotic inflammatory response","29/6513","40/18986",0.725,2.11344234607708,5.09388741615439,9.1202510269263e-07,2.75773597797977e-05,2.04446728486487e-05,"GBP5/GBP2/ZBP1/GBP1/AIM2/IFI27/GBP3/TRIM21/CASP4/CASP1/GSDMA/MEFV/ZDHHC9/CASP8/NLRP1/GSDMD/CASP3/MAP3K20/ZEB2/TREM2/NLRP3/NINJ1/ZDHHC5/NLRC4/GSDMB/CARD8/APIP/DHX9/PYCARD",29
"West Nile","GO:0038202","TORC1 signaling","64/6513","113/18986",0.566371681415929,1.65102606223903,5.01565325859478,9.15216072842378e-07,2.75773597797977e-05,2.04446728486487e-05,"PELI1/CARD11/SMCR8/DEPTOR/SIK3/RPS6KA1/PRKACA/TBK1/CASTOR3P/AKT1S1/LARP1/UBE2D1/SRC/CASTOR2/SYK/SAR1A/RRAGC/NPRL3/NPC1/GPR155/MLST8/NLK/FNIP2/NPRL2/CASTOR1/RPS6KB1/MAPK3/OTUD5/RPS6KB2/LAMTOR1/MAT2A/DYRK3/RPS6KA5/C9orf72/LAMTOR4/RNF167/WAC/KLHL22/USP32/ITFG2/RPS6KA3/LAMTOR5/EP300/LAMTOR2/MFSD8/PIH1D1/FNIP1/WDR24/VHL/OGT/PRKAA1/PPDPF/CSNK1A1/TSC2/SAR1B/RHEB/PIM1/RPS6KA2/YWHAG/TBC1D7/ATM/SESN3/SESN2/ATXN3",64
"West Nile","GO:0098586","cellular response to virus","53/6513","89/18986",0.595505617977528,1.7359541936007,5.02874640111024,9.4650593344858e-07,2.83862906238006e-05,2.10443795136405e-05,"IFIH1/IFNA1/IFNA13/EXT1/CCL5/OAS1/IFNA2/ZC3H12A/IFNA8/IFI6/CXCL10/IL6/JAK2/IFNB1/ADAR/TLR3/NFKB1/IFNA21/IFNA4/IFNA16/IFNA7/IFNA10/IFNW1/IFNE/IFNA17/IFNL1/IKBKE/FMR1/IFNA6/IFNA14/CCL19/IL12A/IFNA5/IFNL3/IFNL2/LGALS8/DDX3X/HIF1A/JAK1/TRIM6/IFNGR2/SMAD3/ATF2/IFNL4/NLRP3/RIOK3/HSP90AA1/CHUK/IFNAR1/GBF1/MIR146A/ARF1/IRF5",53
"West Nile","GO:2000401","regulation of lymphocyte migration","44/6513","70/18986",0.628571428571429,1.83234410300279,5.04135932400256,9.79288979010958e-07,2.90883899443842e-05,2.15648858649086e-05,"CCL5/RIPOR2/CCL2/CCL7/CXCL10/NEDD9/ASCL2/CCL4/DOCK8/MIA3/CD69/CCL20/CCL3/CXCL12/CORO1A/GCSAML/WASL/ADAM17/PTK2B/ADAM8/RIPK3/MSN/WNT5A/TNFSF14/SELENOK/ABL2/OXSR1/AIF1/APP/MADCAM1/SLC8B1/PADI2/CXCL13/CCR2/LRCH1/CD99L2/SPNS2/SPN/MED23/PYCARD/IL27RA/CRKL/ECM1/TNFRSF14",44
"West Nile","GO:0046631","alpha-beta T cell activation","100/6513","196/18986",0.510204081632653,1.48729229139837,4.95523853651319,9.82865341777918e-07,2.90883899443842e-05,2.15648858649086e-05,"IRF1/CD80/SOCS1/CD274/JAK3/RSAD2/IL27/ZC3H12A/IL15/IL23A/NFKBIZ/SOCS3/IL6/JAK2/LILRB1/FOSL2/ASCL2/STAT3/LILRB4/STAT4/CARD11/RIPK2/SEMA4A/ELF4/ADORA2A/RARA/CCL19/CD69/IL12A/RELB/PTGER4/LEF1/PDP2/IL6ST/IL12RB1/PTPRC/CTSL/IL2RA/HSPH1/SHB/HLA-E/SYK/CLEC4A/PRDM1/JAK1/BCL2/STAT6/IL12B/GPR183/BCL3/CRACR2A/IL4R/EBI3/RC3H1/HFE/IL18/SMAD7/RPL22/BRD2/NFKBID/PRKCQ/NCKAP1L/ATF2/CD83/ANXA1/VSIR/BCL6/NLRP3/RC3H2/DAPL1/LGALS1/MEN1/CCR2/CD28/ARG2/CBLB/CD86/RUNX3/ITPKB/ITCH/PRR7/CLEC4G/BRAF/SPN/EP300/ENTPD7/STAT5A/FOXP3/ZBTB16/CD300A/GATA3/CBFB/LGALS3/LOXL3/STOML2/ZFPM1/JUNB/TNFRSF14/NKG7/RORA",100
"West Nile","GO:0044403","biological process involved in symbiotic interaction","152/6513","322/18986",0.472049689440994,1.37606869395466,4.91816543731673,9.83577368188321e-07,2.90883899443842e-05,2.15648858649086e-05,"APOL1/IFITM1/CCL8/IFIT1/CD80/CCL5/IFI27/PLSCR1/DYNLT1/IFNA2/TRIM22/TRIM5/IFITM3/TRIM26/ZC3H12A/CXCL8/TRIM25/SLAMF1/TRIM21/DPP4/ICAM1/STOM/NOD2/CH25H/IFITM2/TRIM38/TRIM34/ITGB7/ZDHHC9/AXL/HSPA1B/CCR5/CCL4/HSPA1A/INSR/ZBED1/FMR1/CXADR/MYD88/TRIM31/UVRAG/CHMP5/LY6E/CCL3/SNW1/SELPLG/TFAP4/LEF1/NECTIN2/PTX3/SIGLEC1/CCNK/CTSL/ITGA2/SCARB1/ITGAV/RAB9A/NECTIN3/APOBEC3H/SRC/TNFRSF4/NUP153/PC/TRIM6/TPCN1/GRK2/NPC1/ITGA5/INPP5K/FASN/SCARB2/PPID/ZDHHC8/CD4/GAS6/NUCKS1/CSF1R/HSP90AB1/RAB5A/IGF2R/CCNT2/JUN/SLC1A5/SNX3/AZU1/LDLR/ANPEP/RPSA/PIKFYVE/VPS4B/EXOC2/PHB1/SMARCA4/VPS37B/RAB29/GPX1/FCN1/CHD1/CHMP2A/PAIP1/LGALS1/ARL8B/MID2/CARD9/EPS15/CAV2/FUCA2/CBL/FN1/TUSC2/CYSRT1/DAG1/CD86/TRIM68/FBXL2/HSPA8/GAPDH/SIVA1/GSDMB/CLDN9/ITCH/NECTIN1/CLEC4G/KPNA3/EPG5/EP300/VAMP8/CHMP1B/CAMP/SMPD1/BECN1/APOE/ZFYVE1/TMPRSS2/CD46/MRC1/BSG/MIR221/SLC10A1/PVR/SMC6/CR1/XPR1/ROMO1/CDK9/TREM1/ZNF639/TNFRSF14/IDE/CLEC5A/CD209/EPHA2",152
"West Nile","GO:0035710","CD4-positive, alpha-beta T cell activation","71/6513","129/18986",0.550387596899225,1.604430971093,4.97755013222137,1.03950217581004e-06,3.06006446961959e-05,2.26860067376636e-05,"CD80/SOCS1/CD274/JAK3/RSAD2/IL27/ZC3H12A/IL23A/NFKBIZ/SOCS3/IL6/ASCL2/STAT3/STAT4/CARD11/RIPK2/SEMA4A/RARA/CCL19/CD69/RELB/PTGER4/LEF1/PDP2/IL6ST/IL12RB1/CTSL/IL2RA/SHB/JAK1/STAT6/IL12B/GPR183/BCL3/CRACR2A/IL4R/RC3H1/IL18/SMAD7/BRD2/NFKBID/PRKCQ/NCKAP1L/CD83/ANXA1/VSIR/BCL6/NLRP3/RC3H2/LGALS1/MEN1/CD28/ARG2/CBLB/CD86/RUNX3/ITCH/BRAF/SPN/EP300/ENTPD7/STAT5A/FOXP3/GATA3/CBFB/LOXL3/STOML2/ZFPM1/JUNB/NKG7/RORA",71
"West Nile","GO:0071346","cellular response to type II interferon","57/6513","98/18986",0.581632653061224,1.69551321219414,4.98810760760215,1.10353780097597e-06,3.2185006758741e-05,2.38605848807922e-05,"GBP5/GBP4/IRF1/GBP2/PARP14/GBP1/PARP9/CCL5/STAT1/CCL2/TNF/GBP3/SP100/NLRC5/ACOD1/JAK2/CASP1/CD47/TLR3/TLR2/CDC42EP2/GBP7/EDN1/PPARG/HCK/CCL3/IL12RB1/STXBP1/RAB43/DAPK1/VPS26B/PTPN2/RPL13A/JAK1/IL12B/WNT5A/IFNGR2/CD58/RPS6KB1/RAF1/SIRPA/STXBP3/AIF1/STX8/NR1H3/CALM1/GAPDH/TLR4/ACTR3/ASS1/RAB7B/ACTR2/MRC1/PIM1/ADAMTS13/CDC42EP4/TXK",57
"West Nile","GO:0034142","toll-like receptor 4 signaling pathway","41/6513","64/18986",0.640625,1.86748138338707,5.02315997936682,1.1040454572532e-06,3.2185006758741e-05,2.38605848807922e-05,"NMI/OAS1/IFI35/TNFAIP3/DAB2IP/SCIMP/ACOD1/LYN/PELI1/IRAK2/NFKBIA/RIPK2/TNIP3/TRIL/MYD88/TBK1/TICAM2/PRKCE/WDFY1/RELA/PIK3AP1/CD14/TRAF3/TICAM1/TAX1BP1/APPL1/TREM2/IRAK4/NR1H3/NINJ1/LY96/TRAF6/PTPN22/ECSIT/ZNRF1/TLR4/CHUK/RAB7B/S100A14/MIR146A/NAGLU",41
"West Nile","GO:0032006","regulation of TOR signaling","81/6513","152/18986",0.532894736842105,1.55343765909477,4.95027809540767,1.10843792844756e-06,3.2185006758741e-05,2.38605848807922e-05,"PELI1/SMCR8/DEPTOR/SIK3/RPS6KA1/PRKACA/TBK1/RICTOR/XBP1/CASTOR3P/AKT1S1/GPAT3/MTM1/RFFL/UBE2D1/HIF1A/SRC/CASTOR2/SYK/SAR1A/RRAGC/NPRL3/MINAR1/BMAL1/NPC1/GPR155/MLST8/NLK/FNIP2/UBR1/NPRL2/CASTOR1/ENDOG/RPS6KB1/UBR2/GAS6/MAPK3/OTUD5/LAMTOR1/GSK3B/MAT2A/NCKAP1L/AKT3/DDIT4/TREM2/DYRK3/C9orf72/GSK3A/LAMTOR4/RNF167/SIRT1/WAC/KLHL22/GOLPH3/USP32/ITFG2/USP9X/LAMTOR5/EP300/LAMTOR2/PIH1D1/FNIP1/WDR24/VHL/PIK3CA/OGT/PRKAA1/CSNK1A1/TSC2/SH3BP4/SAR1B/RHEB/PIM1/YWHAG/TBC1D7/ATM/GBA1/F10/SESN3/SESN2/ATXN3",81
"West Nile","GO:0019882","antigen processing and presentation","66/6513","118/18986",0.559322033898305,1.63047568487536,4.96428596234528,1.14628341922523e-06,3.31332962986911e-05,2.45636061114279e-05,"TAP1/EXT1/CCR7/TAP2/PSME1/ICAM1/HLA-DMB/NOD2/PSMB8/HLA-F/CCL19/RELB/FGL2/RFTN1/MICB/HLA-G/UNC93B1/RAB8B/LNPEP/RAB35/CTSL/CTSV/SLC11A1/NOD1/FCER2/HLA-B/HLA-E/CLEC4A/RAB32/MARCHF1/PDIA3/RAB27A/LGMN/B2M/HLA-DOB/HLA-C/HFE/ERAP1/RAB33A/HLA-DMA/PIKFYVE/ERAP2/LILRB2/TREM2/CD1A/ARL8B/TAPBP/CTSF/MR1/ATG5/TRAF6/RAB10/HLA-H/FCGR1A/RAB6A/CTSS/TREX1/TAPBPL/PYCARD/CD1C/SAR1B/GBA1/RAB4A/MICA/IDE/CD209",66
